expected step
explore, step:  41136, spool: 0.00, diameter: 30.20, speed: 74.56, motorV: 21.16, extfrq: 16.38, target: 41.90, greedy_m: 22.26, greedy_e: 15.89, reward: -0.170, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.555
explore, step:  41137, spool: 0.01, diameter: 31.40, speed: 74.32, motorV: 22.66, extfrq: 16.87, target: 41.90, greedy_m: 23.32, greedy_e: 16.50, reward: -0.042, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.521
explore, step:  41138, spool: 0.03, diameter: 30.00, speed: 70.32, motorV: 24.88, extfrq: 18.31, target: 41.90, greedy_m: 25.49, greedy_e: 17.80, reward: -0.182, Q_exam: 56.215, am_exam: 44.189, a_exam: 0.000,  1, temp: 79.555
explore, step:  41139, spool: 0.04, diameter: 33.70, speed: 55.60, motorV: 28.57, extfrq: 20.51, target: 41.90, greedy_m: 28.94, greedy_e: 20.01, reward: 0.189, Q_exam: 61.967, am_exam: 68.734, a_exam: 31.007,  2, temp: 79.624
explore, step:  41140, spool: 0.06, diameter: 33.00, speed: 44.24, motorV: 33.48, extfrq: 23.51, target: 41.90, greedy_m: 33.63, greedy_e: 23.18, reward: 0.120, Q_exam: 60.473, am_exam: 36.433, a_exam: 57.218,  4, temp: 79.521
explore, step:  41141, spool: 0.08, diameter: 30.20, speed: 36.96, motorV: 39.34, extfrq: 27.51, target: 41.90, greedy_m: 39.38, greedy_e: 27.22, reward: -0.158, Q_exam: 38.070, am_exam: 38.855, a_exam: 38.333,  6, temp: 79.589
explore, step:  41142, spool: 0.09, diameter: 30.10, speed: 34.32, motorV: 45.75, extfrq: 32.00, target: 41.90, greedy_m: 45.84, greedy_e: 31.91, reward: -0.166, Q_exam: 64.001, am_exam: 79.482, a_exam: 53.938,  7, temp: 79.589
explore, step:  41143, spool: 0.11, diameter: 30.90, speed: 35.84, motorV: 52.76, extfrq: 37.05, target: 41.90, greedy_m: 52.58, greedy_e: 37.03, reward: -0.084, Q_exam: 36.495, am_exam: 35.200, a_exam: 63.262,  9, temp: 79.624
explore, step:  41144, spool: 0.14, diameter: 32.40, speed: 39.60, motorV: 59.35, extfrq: 42.53, target: 41.90, greedy_m: 59.27, greedy_e: 42.49, reward: 0.069, Q_exam: 56.805, am_exam: 45.182, a_exam: 45.364,  1, temp: 79.796
explore, step:  41145, spool: 0.16, diameter: 32.50, speed: 44.80, motorV: 65.34, extfrq: 48.41, target: 41.90, greedy_m: 65.32, greedy_e: 48.27, reward: 0.081, Q_exam: 63.789, am_exam: 67.415, a_exam: 29.592,  3, temp: 79.624
explore, step:  41146, spool: 0.19, diameter: 30.80, speed: 49.92, motorV: 70.26, extfrq: 54.27, target: 41.90, greedy_m: 70.31, greedy_e: 54.11, reward: -0.086, Q_exam: 60.152, am_exam: 36.704, a_exam: 56.654,  4, temp: 79.521
explore, step:  41147, spool: 0.21, diameter: 33.60, speed: 54.88, motorV: 75.02, extfrq: 60.31, target: 41.90, greedy_m: 74.68, greedy_e: 59.89, reward: 0.197, Q_exam: 37.662, am_exam: 40.189, a_exam: 62.838,  6, temp: 79.692
explore, step:  41148, spool: 0.25, diameter: 35.70, speed: 59.44, motorV: 78.58, extfrq: 66.05, target: 41.90, greedy_m: 78.19, greedy_e: 65.38, reward: 0.410, Q_exam: 56.132, am_exam: 79.323, a_exam: 53.331,  8, temp: 79.624
explore, step:  41149, spool: 0.28, diameter: 39.20, speed: 64.96, motorV: 81.45, extfrq: 70.88, target: 41.90, greedy_m: 80.84, greedy_e: 70.34, reward: 0.763, Q_exam: 36.227, am_exam: 35.186, a_exam: 63.290,  9, temp: 79.589
explore, step:  41150, spool: 0.31, diameter: 43.40, speed: 70.16, motorV: 83.26, extfrq: 75.45, target: 41.90, greedy_m: 82.67, greedy_e: 74.84, reward: 0.885, Q_exam: 56.793, am_exam: 43.218, a_exam: 45.194,  1, temp: 79.624
explore, step:  41151, spool: 0.35, diameter: 46.10, speed: 74.64, motorV: 84.50, extfrq: 79.82, target: 41.90, greedy_m: 83.74, greedy_e: 78.92, reward: 0.618, Q_exam: 63.571, am_exam: 69.790, a_exam: 57.768,  3, temp: 79.692
explore, step:  41152, spool: 0.39, diameter: 44.50, speed: 78.00, motorV: 85.07, extfrq: 82.81, target: 41.90, greedy_m: 84.35, greedy_e: 82.29, reward: 0.780, Q_exam: 59.315, am_exam: 35.691, a_exam: 57.324,  5, temp: 79.589
explore, step:  41153, spool: 0.43, diameter: 41.20, speed: 80.80, motorV: 85.07, extfrq: 85.02, target: 41.90, greedy_m: 84.26, greedy_e: 84.71, reward: 0.971, Q_exam: 38.336, am_exam: 39.765, a_exam: 63.103,  6, temp: 79.692
explore, step:  41154, spool: 0.47, diameter: 38.70, speed: 82.48, motorV: 84.45, extfrq: 87.12, target: 41.90, greedy_m: 83.60, greedy_e: 86.52, reward: 0.723, Q_exam: 56.414, am_exam: 79.593, a_exam: 67.940,  8, temp: 79.658
