expected step
exploit, step:      1, spool: 0.00, diameter: 28.70, speed: 79.44, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: -0.25, greedy_e: 0.06, reward: -0.620, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:      2, spool: 0.04, diameter: 30.80, speed: 79.12, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: -0.28, greedy_e: 0.01, reward: -0.374, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:      3, spool: 0.07, diameter: 32.60, speed: 88.72, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: -0.32, greedy_e: -0.07, reward: -0.194, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:      4, spool: 0.11, diameter: 32.10, speed: 100.08, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: -0.32, greedy_e: -0.16, reward: -0.244, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:      5, spool: 0.14, diameter: 33.40, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: -0.29, greedy_e: -0.26, reward: -0.114, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:      6, spool: 0.18, diameter: 32.40, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: -0.23, greedy_e: -0.38, reward: -0.214, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:      7, spool: 0.21, diameter: 30.70, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: -0.18, greedy_e: -0.51, reward: -0.384, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:      8, spool: 0.25, diameter: 30.80, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: -0.14, greedy_e: -0.64, reward: -0.374, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:      9, spool: 0.28, diameter: 28.30, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: -0.10, greedy_e: -0.77, reward: -0.624, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:     10, spool: 0.32, diameter: 29.90, speed: 100.48, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: -0.07, greedy_e: -0.88, reward: -0.464, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.933
exploit, step:     11, spool: 0.35, diameter: 28.20, speed: 100.64, motorV: 100.00, extfrq: 72.00, target: 44.90, greedy_m: -0.04, greedy_e: -0.99, reward: -0.634, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
