expected step
exploit, step:  51664, spool: 0.00, diameter: 35.70, speed: 80.72, motorV: 23.70, extfrq: 18.71, target: 33.10, greedy_m: 23.70, greedy_e: 18.71, reward: 0.740, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:  51665, spool: 0.01, diameter: 35.30, speed: 81.04, motorV: 24.49, extfrq: 19.24, target: 33.10, greedy_m: 24.49, greedy_e: 19.24, reward: 0.789, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.174
exploit, step:  51666, spool: 0.03, diameter: 35.60, speed: 78.00, motorV: 26.18, extfrq: 20.28, target: 33.10, greedy_m: 26.18, greedy_e: 20.28, reward: 0.760, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51667, spool: 0.05, diameter: 32.70, speed: 66.48, motorV: 28.99, extfrq: 21.94, target: 33.10, greedy_m: 28.99, greedy_e: 21.94, reward: 0.970, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51668, spool: 0.06, diameter: 33.80, speed: 57.60, motorV: 32.93, extfrq: 24.32, target: 33.10, greedy_m: 32.93, greedy_e: 24.32, reward: 0.941, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.174
exploit, step:  51669, spool: 0.08, diameter: 34.40, speed: 51.44, motorV: 37.85, extfrq: 27.40, target: 33.10, greedy_m: 37.85, greedy_e: 27.40, reward: 0.882, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51670, spool: 0.10, diameter: 35.60, speed: 47.76, motorV: 43.51, extfrq: 31.02, target: 33.10, greedy_m: 43.51, greedy_e: 31.02, reward: 0.764, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51671, spool: 0.12, diameter: 36.40, speed: 46.80, motorV: 49.50, extfrq: 34.87, target: 33.10, greedy_m: 49.50, greedy_e: 34.87, reward: 0.686, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51672, spool: 0.14, diameter: 37.30, speed: 47.60, motorV: 55.43, extfrq: 38.71, target: 33.10, greedy_m: 55.43, greedy_e: 38.71, reward: 0.597, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51673, spool: 0.16, diameter: 37.70, speed: 50.40, motorV: 60.98, extfrq: 42.52, target: 33.10, greedy_m: 60.98, greedy_e: 42.52, reward: 0.559, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51674, spool: 0.18, diameter: 40.60, speed: 54.56, motorV: 66.01, extfrq: 46.51, target: 33.10, greedy_m: 66.01, greedy_e: 46.51, reward: 0.271, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.174
