expected step
exploit, step:  51664, spool: 0.00, diameter: 35.30, speed: 75.44, motorV: 23.77, extfrq: 18.73, target: 49.20, greedy_m: 23.77, greedy_e: 18.73, reward: -0.390, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51665, spool: 0.01, diameter: 35.10, speed: 75.04, motorV: 24.80, extfrq: 19.39, target: 49.20, greedy_m: 24.80, greedy_e: 19.39, reward: -0.401, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51666, spool: 0.03, diameter: 30.90, speed: 71.52, motorV: 26.88, extfrq: 20.82, target: 49.20, greedy_m: 26.88, greedy_e: 20.82, reward: -0.820, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.174
exploit, step:  51667, spool: 0.05, diameter: 35.40, speed: 58.08, motorV: 30.18, extfrq: 23.24, target: 49.20, greedy_m: 30.18, greedy_e: 23.24, reward: -0.370, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.208
exploit, step:  51668, spool: 0.06, diameter: 35.80, speed: 47.60, motorV: 34.57, extfrq: 26.69, target: 49.20, greedy_m: 34.57, greedy_e: 26.69, reward: -0.328, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51669, spool: 0.08, diameter: 33.30, speed: 40.32, motorV: 39.75, extfrq: 31.01, target: 49.20, greedy_m: 39.75, greedy_e: 31.01, reward: -0.577, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.243
exploit, step:  51670, spool: 0.10, diameter: 33.90, speed: 38.16, motorV: 45.43, extfrq: 35.97, target: 49.20, greedy_m: 45.43, greedy_e: 35.97, reward: -0.514, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51671, spool: 0.12, diameter: 35.80, speed: 38.72, motorV: 51.24, extfrq: 41.27, target: 49.20, greedy_m: 51.24, greedy_e: 41.27, reward: -0.322, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:  51672, spool: 0.15, diameter: 35.40, speed: 41.68, motorV: 56.78, extfrq: 46.71, target: 49.20, greedy_m: 56.78, greedy_e: 46.71, reward: -0.359, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51673, spool: 0.17, diameter: 33.90, speed: 45.36, motorV: 61.74, extfrq: 52.20, target: 49.20, greedy_m: 61.74, greedy_e: 52.20, reward: -0.507, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:  51674, spool: 0.20, diameter: 35.00, speed: 49.52, motorV: 66.09, extfrq: 57.70, target: 49.20, greedy_m: 66.09, greedy_e: 57.70, reward: -0.394, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:  51675, spool: 0.23, diameter: 34.70, speed: 53.12, motorV: 69.96, extfrq: 63.14, target: 49.20, greedy_m: 69.96, greedy_e: 63.14, reward: -0.421, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:  51676, spool: 0.26, diameter: 36.50, speed: 57.60, motorV: 73.16, extfrq: 68.39, target: 49.20, greedy_m: 73.16, greedy_e: 68.39, reward: -0.238, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.208
exploit, step:  51677, spool: 0.29, diameter: 39.80, speed: 62.24, motorV: 75.58, extfrq: 73.33, target: 49.20, greedy_m: 75.58, greedy_e: 73.33, reward: 0.094, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.899
exploit, step:  51678, spool: 0.33, diameter: 43.00, speed: 66.24, motorV: 77.22, extfrq: 77.86, target: 49.20, greedy_m: 77.22, greedy_e: 77.86, reward: 0.417, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:  51679, spool: 0.37, diameter: 43.80, speed: 69.52, motorV: 78.17, extfrq: 81.96, target: 49.20, greedy_m: 78.17, greedy_e: 81.96, reward: 0.499, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
