expected step
exploit, step:      1, spool: 0.00, diameter: 33.50, speed: 77.84, motorV: 19.88, extfrq: 20.64, target: 45.00, greedy_m: 19.88, greedy_e: 20.64, reward: -0.150, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:      2, spool: 0.02, diameter: 35.50, speed: 78.08, motorV: 20.76, extfrq: 21.35, target: 45.00, greedy_m: 20.76, greedy_e: 21.35, reward: 0.060, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:      3, spool: 0.03, diameter: 34.80, speed: 74.08, motorV: 22.58, extfrq: 22.84, target: 45.00, greedy_m: 22.58, greedy_e: 22.84, reward: -0.009, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:      4, spool: 0.05, diameter: 34.60, speed: 60.64, motorV: 25.55, extfrq: 25.27, target: 45.00, greedy_m: 25.55, greedy_e: 25.27, reward: -0.029, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:      5, spool: 0.07, diameter: 34.30, speed: 50.24, motorV: 29.62, extfrq: 28.61, target: 45.00, greedy_m: 29.62, greedy_e: 28.61, reward: -0.057, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:      6, spool: 0.08, diameter: 35.90, speed: 43.36, motorV: 34.54, extfrq: 32.62, target: 45.00, greedy_m: 34.54, greedy_e: 32.62, reward: 0.104, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:      7, spool: 0.10, diameter: 36.50, speed: 39.92, motorV: 40.00, extfrq: 37.06, target: 45.00, greedy_m: 40.00, greedy_e: 37.06, reward: 0.166, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:      8, spool: 0.13, diameter: 37.00, speed: 39.28, motorV: 45.61, extfrq: 41.74, target: 45.00, greedy_m: 45.61, greedy_e: 41.74, reward: 0.219, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:      9, spool: 0.15, diameter: 37.90, speed: 39.84, motorV: 51.04, extfrq: 46.56, target: 45.00, greedy_m: 51.04, greedy_e: 46.56, reward: 0.311, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     10, spool: 0.18, diameter: 38.10, speed: 43.76, motorV: 56.03, extfrq: 51.62, target: 45.00, greedy_m: 56.03, greedy_e: 51.62, reward: 0.333, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     11, spool: 0.20, diameter: 39.50, speed: 48.32, motorV: 60.31, extfrq: 57.06, target: 45.00, greedy_m: 60.31, greedy_e: 57.06, reward: 0.476, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     12, spool: 0.23, diameter: 41.90, speed: 52.72, motorV: 63.99, extfrq: 62.87, target: 45.00, greedy_m: 63.99, greedy_e: 62.87, reward: 0.719, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:     13, spool: 0.26, diameter: 41.80, speed: 56.48, motorV: 66.94, extfrq: 68.88, target: 45.00, greedy_m: 66.94, greedy_e: 68.88, reward: 0.711, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 79.968
exploit, step:     14, spool: 0.30, diameter: 45.10, speed: 59.84, motorV: 69.04, extfrq: 74.87, target: 45.00, greedy_m: 69.04, greedy_e: 74.87, reward: 1.024, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:     15, spool: 0.34, diameter: 46.90, speed: 62.88, motorV: 70.39, extfrq: 80.60, target: 45.00, greedy_m: 70.39, greedy_e: 80.60, reward: 0.847, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     16, spool: 0.37, diameter: 48.90, speed: 66.16, motorV: 71.23, extfrq: 85.86, target: 45.00, greedy_m: 71.23, greedy_e: 85.86, reward: 0.650, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     17, spool: 0.41, diameter: 47.30, speed: 68.48, motorV: 71.81, extfrq: 90.51, target: 45.00, greedy_m: 71.81, greedy_e: 90.51, reward: 0.813, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:     18, spool: 0.46, diameter: 44.60, speed: 69.92, motorV: 72.27, extfrq: 94.42, target: 45.00, greedy_m: 72.27, greedy_e: 94.42, reward: 1.005, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.036
exploit, step:     19, spool: 0.50, diameter: 41.50, speed: 71.12, motorV: 72.67, extfrq: 97.52, target: 45.00, greedy_m: 72.67, greedy_e: 97.52, reward: 0.697, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     20, spool: 0.55, diameter: 37.10, speed: 72.24, motorV: 72.99, extfrq: 99.85, target: 45.00, greedy_m: 72.99, greedy_e: 99.85, reward: 0.259, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     21, spool: 0.59, diameter: 44.50, speed: 72.72, motorV: 73.17, extfrq: 100.00, target: 45.00, greedy_m: 73.17, greedy_e: 101.47, reward: 1.000, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     22, spool: 0.64, diameter: 37.60, speed: 72.80, motorV: 73.02, extfrq: 100.00, target: 45.00, greedy_m: 73.02, greedy_e: 102.19, reward: 0.310, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:     23, spool: 0.68, diameter: 36.20, speed: 73.36, motorV: 72.46, extfrq: 100.00, target: 45.00, greedy_m: 72.46, greedy_e: 101.98, reward: 0.170, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
exploit, step:     24, spool: 0.73, diameter: 35.30, speed: 73.68, motorV: 71.68, extfrq: 100.00, target: 45.00, greedy_m: 71.68, greedy_e: 100.91, reward: 0.080, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     25, spool: 0.78, diameter: 35.80, speed: 73.60, motorV: 71.16, extfrq: 98.93, target: 45.00, greedy_m: 71.16, greedy_e: 98.93, reward: 0.130, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     26, spool: 0.82, diameter: 36.30, speed: 73.28, motorV: 71.08, extfrq: 95.96, target: 45.00, greedy_m: 71.08, greedy_e: 95.96, reward: 0.179, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     27, spool: 0.87, diameter: 36.00, speed: 73.04, motorV: 71.09, extfrq: 92.20, target: 45.00, greedy_m: 71.09, greedy_e: 92.20, reward: 0.148, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:     28, spool: 0.91, diameter: 36.60, speed: 72.56, motorV: 71.08, extfrq: 87.85, target: 45.00, greedy_m: 71.08, greedy_e: 87.85, reward: 0.206, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.139
exploit, step:     29, spool: 0.95, diameter: 36.70, speed: 72.16, motorV: 71.74, extfrq: 82.78, target: 45.00, greedy_m: 71.74, greedy_e: 82.78, reward: 0.214, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.002
exploit, step:     30, spool: 0.99, diameter: 36.40, speed: 72.00, motorV: 73.68, extfrq: 77.89, target: 45.00, greedy_m: 73.68, greedy_e: 77.89, reward: 0.181, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.071
exploit, step:     31, spool: 1.03, diameter: 37.50, speed: 72.32, motorV: 76.03, extfrq: 73.65, target: 45.00, greedy_m: 76.03, greedy_e: 73.65, reward: 0.289, Q_exam: 0.000, am_exam: 0.000, a_exam: 0.000,  0, temp: 80.105
