step,spool,diameter,speed,motorV,extfrq,target,temp
0,0.0,34.6,79.12,24.14,17.72,35.2,80.17399999999999
1,0.01,29.6,79.2,25.11,18.63,35.2,80.208
2,0.03,29.7,75.44,27.01,20.1,35.2,80.105
3,0.04,28.7,63.52,29.65,22.51,35.2,80.17399999999999
4,0.06,29.0,54.08,33.71,25.82,35.2,80.002
5,0.08,28.9,47.76,38.37,29.68,35.2,80.17399999999999
6,0.1,30.1,44.56,43.76,33.86,35.2,80.208
7,0.12,29.7,43.6,49.13,38.4,35.2,80.17399999999999
8,0.14,31.3,45.76,54.56,43.23,35.2,80.311
9,0.17,33.5,49.04,59.48,48.03,35.2,80.311
10,0.19,34.8,52.8,63.84,52.66,35.2,80.17399999999999
11,0.22,34.1,56.72,67.62,57.34,35.2,80.243
12,0.25,35.6,60.08,71.17,61.67,35.2,80.311
13,0.28,39.0,63.92,74.52,65.33,35.2,80.38
14,0.31,42.9,67.76,77.34,68.34,35.2,80.17399999999999
15,0.35,46.7,71.52,79.85,71.13,35.2,80.243
16,0.38,48.0,74.56,81.95,73.29,35.2,80.346
17,0.42,44.8,77.92,83.79,75.18,35.2,80.346
18,0.45,41.6,81.12,85.56,76.92,35.2,80.243
19,0.49,39.5,83.28,87.18,78.04,35.2,80.277
20,0.53,37.5,85.12,89.03,79.08,35.2,80.243
21,0.57,36.4,87.44,90.25,79.86,35.2,80.311
22,0.61,37.6,89.12,91.5,79.85,35.2,80.346
23,0.64,36.3,90.72,92.64,78.99,35.2,80.243
24,0.68,36.3,92.16,93.66,77.93,35.2,80.17399999999999
25,0.72,34.1,92.96,94.65,77.15,35.2,80.346
26,0.76,32.9,93.76,95.3,76.5,35.2,80.311
27,0.8,36.9,94.64,96.07,75.88,35.2,80.483
28,0.83,36.7,95.2,96.39,75.66,35.2,80.483
29,0.87,36.3,95.76,96.39,75.2,35.2,80.243
30,0.91,34.2,96.16,96.13,74.48,35.2,80.243
31,0.94,31.4,96.0,96.15,74.3,35.2,80.243
32,0.98,33.7,96.16,96.15,74.08,35.2,80.17399999999999
33,1.01,31.8,96.16,96.06,74.03,35.2,80.243
34,1.05,34.8,96.0,96.46,73.86,35.2,80.105
35,1.09,33.2,96.16,96.8,73.36,35.2,80.311
36,1.12,30.8,96.16,97.07,72.88,35.2,80.277
37,1.16,29.7,96.16,97.43,72.13,35.2,80.243
38,1.19,30.4,96.56,97.61,71.41,35.2,80.139
39,1.23,34.0,96.56,97.73,70.66,35.2,80.17399999999999
40,1.26,32.4,96.8,97.95,70.67,35.2,80.208
41,1.3,35.8,96.96,98.06,70.72,35.2,80.208
42,1.33,34.7,96.8,98.5,70.76,35.2,80.311
43,1.37,37.2,97.12,98.99,70.59,35.2,80.17399999999999
44,1.4,38.7,97.28,99.71,70.1,35.2,80.277
45,1.44,36.3,97.36,100.0,69.5,35.2,80.277
46,1.47,35.2,98.4,100.0,68.49,35.2,80.277
47,1.51,36.1,99.84,100.0,66.48,35.2,80.277
48,1.54,37.8,100.56,100.0,66.49,35.2,80.277
49,1.57,38.1,100.8,100.0,66.6,35.2,80.17399999999999
50,1.61,39.8,100.8,100.0,66.12,35.2,80.208
51,1.64,40.5,100.8,100.0,65.79,35.2,80.277
52,1.67,41.6,100.8,100.0,66.18,35.2,80.105
53,1.71,40.9,100.72,100.0,67.01,35.2,80.208
54,1.74,40.6,100.8,100.0,67.54,35.2,80.071
55,1.77,41.2,100.8,100.0,67.59,35.2,80.17399999999999
56,1.81,48.1,100.72,100.0,66.97,35.2,80.105
57,1.84,40.5,100.8,100.0,65.98,35.2,80.105
58,1.87,40.2,100.8,100.0,65.07,41.3,80.105
59,1.91,38.8,100.88,100.0,64.53,41.3,80.002
60,1.94,37.2,100.96,100.0,63.92,41.3,80.105
61,1.97,37.2,100.72,100.0,63.88,41.3,80.071
62,2.0,36.6,100.8,100.0,64.06,41.3,80.208
63,2.03,38.7,100.8,100.0,64.62,41.3,80.139
64,2.07,40.2,100.72,100.0,64.93,41.3,80.105
65,2.1,39.5,100.8,100.0,65.4,41.3,80.105
66,2.13,36.4,100.64,100.0,65.54,41.3,80.036
67,2.17,38.4,100.72,100.0,65.52,41.3,80.071
68,2.2,36.1,100.8,100.0,65.44,41.3,80.002
69,2.23,38.6,100.72,100.0,65.22,41.3,80.071
70,2.26,39.8,100.88,100.0,65.21,41.3,80.036
71,2.3,40.3,100.8,100.0,65.13,41.3,80.105
72,2.33,41.0,100.72,100.0,65.02,41.3,80.036
73,2.36,41.3,100.96,100.0,64.76,41.3,80.105
74,2.4,42.0,100.72,100.0,65.02,41.3,79.933
75,2.43,42.8,100.8,100.0,65.34,41.3,79.933
76,2.46,43.8,100.96,100.0,65.21,41.3,79.933
77,2.49,44.4,100.8,100.0,65.1,41.3,79.933
78,2.53,45.1,100.96,100.0,65.24,41.3,80.105
79,2.56,44.9,100.96,100.0,65.29,41.3,79.933
80,2.59,45.4,100.88,100.0,65.57,41.3,80.002
81,2.62,45.4,100.88,100.0,65.79,41.3,79.83
82,2.66,45.1,100.72,100.0,65.59,41.3,80.071
83,2.69,45.5,100.8,100.0,65.65,41.3,80.036
84,2.72,45.6,100.88,100.0,65.6,41.3,80.036
85,2.76,45.7,100.64,100.0,65.47,41.3,79.796
86,2.79,46.9,100.8,100.0,65.8,41.3,79.899
87,2.82,46.9,100.72,100.0,65.6,41.3,79.796
88,2.86,46.6,100.72,100.0,65.45,41.3,79.86399999999999
89,2.89,46.7,100.8,100.0,65.69,41.3,79.86399999999999
90,2.92,45.6,100.8,100.0,65.87,41.3,79.933
91,2.95,44.7,100.8,100.0,65.86,41.3,79.692
92,2.99,44.2,100.8,100.0,65.45,41.3,79.83
93,3.02,43.3,100.64,100.0,64.96,41.3,79.933
94,3.05,43.8,100.88,100.0,64.98,41.3,79.899
95,3.09,43.0,100.96,100.0,64.43,41.3,79.899
96,3.12,43.3,100.8,100.0,64.39,41.3,79.899
97,3.15,43.2,100.88,100.0,64.58,41.3,79.796
98,3.18,43.4,100.72,100.0,64.85,41.3,79.76100000000001
99,3.22,43.8,100.72,100.0,65.39,41.3,79.83
100,3.25,43.0,100.8,100.0,65.83,41.3,80.036
101,3.28,43.2,100.56,100.0,65.85,41.3,79.76100000000001
102,3.31,41.2,100.72,100.0,66.05,41.3,79.83
103,3.35,44.2,100.72,100.0,66.23,41.3,79.899
104,3.38,43.8,100.72,100.0,66.47,41.3,79.86399999999999
105,3.41,47.2,100.88,100.0,66.72,41.3,79.899
106,3.45,46.5,100.72,100.0,66.83,41.3,79.796
107,3.48,48.8,100.8,100.0,67.0,41.3,79.83
108,3.51,48.0,100.8,100.0,67.05,41.3,79.899
109,3.55,47.4,100.72,100.0,67.07,41.3,80.002
110,3.58,43.1,100.96,100.0,67.14,41.3,79.83
111,3.61,42.9,100.96,100.0,67.0,41.3,79.899
112,3.65,41.0,100.8,100.0,66.52,41.3,79.899
113,3.68,40.8,100.88,100.0,65.88,41.3,79.76100000000001
114,3.71,42.3,100.8,100.0,65.96,41.3,79.658
115,3.75,40.5,100.96,100.0,65.79,41.3,79.796
116,3.78,40.6,100.96,100.0,65.54,41.3,79.933
117,3.81,41.4,100.72,100.0,65.61,41.3,79.76100000000001
118,3.85,40.8,100.88,100.0,65.86,41.3,79.76100000000001
119,3.88,40.8,100.8,100.0,65.97,41.3,79.692
120,3.91,41.3,100.8,100.0,65.66,41.3,79.83
121,3.95,40.8,100.8,100.0,65.65,41.3,79.727
122,3.98,42.8,100.64,100.0,65.74,41.3,79.86399999999999
123,4.01,42.9,100.8,100.0,65.69,41.3,79.658
124,4.04,43.5,100.8,100.0,65.66,41.3,79.86399999999999
125,4.08,43.8,100.72,100.0,65.81,41.3,79.727
126,4.11,44.0,100.8,100.0,65.76,41.3,79.899
127,4.14,44.1,100.72,100.0,65.93,41.3,79.796
128,4.18,44.6,100.64,100.0,65.86,41.3,79.796
129,4.21,42.4,100.8,100.0,66.56,41.3,79.76100000000001
130,4.24,43.9,100.64,100.0,66.97,41.3,79.899
131,4.28,44.2,100.72,100.0,67.27,41.3,79.692
132,4.31,43.4,100.72,100.0,67.55,41.3,79.86399999999999
133,4.34,44.3,100.64,100.0,67.77,41.3,79.86399999999999
134,4.38,44.6,100.88,100.0,67.92,41.3,79.692
135,4.41,42.6,100.88,100.0,68.15,41.3,79.968
136,4.44,43.2,100.72,100.0,68.33,41.3,79.968
137,4.48,44.5,100.8,100.0,68.86,41.3,79.968
138,4.51,44.0,100.72,100.0,68.91,41.3,79.86399999999999
139,4.55,44.7,100.8,100.0,69.1,41.3,79.796
140,4.58,42.2,100.88,100.0,69.36,41.3,79.86399999999999
141,4.62,41.7,100.56,100.0,69.6,41.3,79.933
142,4.65,42.0,100.8,100.0,69.61,41.3,79.933
143,4.68,43.8,100.8,100.0,69.36,41.3,80.036
144,4.72,44.8,100.72,100.0,69.42,41.3,79.899
145,4.75,45.5,100.88,100.0,69.24,41.3,80.036
146,4.79,44.8,100.8,100.0,69.53,41.3,79.83
147,4.82,43.5,100.88,100.0,69.55,41.3,79.83
148,4.86,44.1,100.88,100.0,69.72,41.3,79.899
149,4.89,42.6,100.8,100.0,70.32,41.3,79.899
150,4.93,43.1,101.12,100.0,70.85,41.3,79.76100000000001
151,4.96,42.7,100.88,100.0,70.91,41.3,79.727
152,5.0,42.1,100.8,100.0,71.09,41.3,79.968
153,5.03,40.1,100.88,100.0,71.1,41.3,79.899
154,5.07,40.7,100.64,100.0,71.21,41.3,79.76100000000001
155,5.1,38.3,100.8,100.0,71.0,41.3,79.86399999999999
156,5.14,38.7,100.8,100.0,71.04,41.3,79.899
157,5.17,38.6,100.64,100.0,70.96,41.3,79.86399999999999
158,5.21,38.7,100.8,100.0,71.02,41.3,79.899
